,epoch,training_cross_ent_loss,training_top_inf_acc,training_top_true_acc,training_top_1_acc,val_cross_ent_loss,val_top_inf_acc,val_top_true_acc,val_top_1_acc
0,0,2.1376864910125732,0.44628897309303284,0.768750011920929,0.7680000066757202,1.7613840103149414,0.2294919341802597,0.68359375,0.6811023354530334
1,1,1.8357871770858765,0.2545569837093353,0.7265625,0.7265625,1.7209244966506958,0.2128904163837433,0.66015625,0.6574802994728088
2,2,1.8802216053009033,0.23437468707561493,0.70703125,0.7047244310379028,,,,
3,3,1.962571620941162,0.24680954217910767,0.74609375,0.7430830597877502,,,,
4,4,1.950931429862976,0.25130173563957214,0.7578125,0.7539682984352112,,,,
5,5,1.7464673519134521,0.25299447774887085,0.75390625,0.7490040063858032,,,,
6,6,1.7081596851348877,0.23320093750953674,0.6388888955116272,0.6349206566810608,,,,
7,7,1.7631311416625977,0.24997800588607788,0.654296875,0.6465862989425659,,,,
8,8,1.7878133058547974,0.27278637886047363,0.69921875,0.6980392336845398,1.5820188522338867,0.20182278752326965,0.568359375,0.5669291019439697
9,9,1.7271867990493774,0.26249974966049194,0.7109375,0.7086614370346069,,,,
10,10,1.8039910793304443,0.2589091658592224,0.7152777910232544,0.7131474018096924,,,,
11,11,1.799357295036316,0.24994046986103058,0.74609375,0.7420635223388672,,,,
12,12,1.677893877029419,0.24294671416282654,0.7265625,0.7233201861381531,,,,
13,13,1.6879674196243286,0.23958300054073334,0.7265625,0.7200000286102295,,,,
14,14,1.6485979557037354,0.23600228130817413,0.71484375,0.7114624977111816,,,,
15,15,1.6153264045715332,0.23475447297096252,0.71875,0.7131474018096924,,,,
16,16,1.630305290222168,0.2366592437028885,0.7109375,0.7075099349021912,,,,
17,17,1.548743486404419,0.23567678034305573,0.70703125,0.7047244310379028,,,,
18,18,1.5453507900238037,0.22597628831863403,0.68359375,0.6823529601097107,,,,
19,19,1.572647213935852,0.23509083688259125,0.6953125,0.6916996240615845,,,,
20,20,1.5844420194625854,0.22966550290584564,0.66796875,0.6640316247940063,,,,
21,21,1.6408591270446777,0.24563777446746826,0.69921875,0.6920000314712524,,,,
22,22,1.488694667816162,0.20996077358722687,0.609375,0.6062992215156555,,,,
23,23,1.532194972038269,0.23209604620933533,0.685546875,0.686274528503418,,,,
24,24,1.6265116930007935,0.2381507307291031,0.6953125,0.6880000233650208,,,,
25,25,1.506685495376587,0.22760385274887085,0.66796875,0.665354311466217,,,,
26,26,1.5335025787353516,0.23144502937793732,0.703125,0.6996047496795654,,,,
27,27,1.5970778465270996,0.24583302438259125,0.72265625,0.7193676233291626,1.6449708938598633,0.23279646039009094,0.6953125,0.6916996240615845
28,28,1.644946813583374,0.24055956304073334,0.7109375,0.7051793336868286,,,,
29,29,1.5637454986572266,0.22408828139305115,0.659375011920929,0.658823549747467,,,,
30,30,1.5570313930511475,0.2438148409128189,0.677734375,0.6758893728256226,,,,
31,31,1.5353305339813232,0.2126299887895584,0.625,0.6190476417541504,,,,
32,32,1.6693893671035767,0.23676200211048126,0.6090494990348816,0.5991902947425842,,,,
33,33,1.5564489364624023,0.23483054339885712,0.609375,0.6015936136245728,,,,
34,34,1.6354410648345947,0.23741887509822845,0.6328125,0.6254980564117432,,,,
35,35,1.512121319770813,0.24290341138839722,0.640625,0.6377952694892883,,,,
36,36,1.530575156211853,0.2347002476453781,0.6393229365348816,0.636363685131073,,,,
37,37,1.6199088096618652,0.22428365051746368,0.62890625,0.6215139627456665,,,,
38,38,1.5886813402175903,0.23398420214653015,0.671875,0.6705882549285889,,,,
39,39,1.5510331392288208,0.22649721801280975,0.6236978769302368,0.6190476417541504,,,,
40,40,1.6467325687408447,0.2365586906671524,0.6490885019302368,0.6454183459281921,,,,
41,41,1.558164119720459,0.22760388255119324,0.6276041865348816,0.6245059370994568,,,,
42,42,1.5666025876998901,0.2214190661907196,0.6028645634651184,0.5960000157356262,,,,
43,43,1.5315332412719727,0.2382158786058426,0.642773449420929,0.6403162479400635,,,,
44,44,1.5591590404510498,0.22356751561164856,0.609375,0.60317462682724,,,,
45,45,1.4630451202392578,0.21874980628490448,0.58203125,0.58203125,,,,
46,46,1.5259149074554443,0.2307940125465393,0.640625,0.6392157077789307,,,,
47,47,1.5125536918640137,0.2216794490814209,0.599609375,0.5984252095222473,,,,
48,48,1.5856037139892578,0.24453096091747284,0.6796875,0.6746032238006592,,,,
49,49,1.5197969675064087,0.21087223291397095,0.58203125,0.5737051963806152,,,,
50,50,1.61301851272583,0.2405596524477005,0.6708984375,0.6653386354446411,,,,
51,51,1.6127164363861084,0.23073486983776093,0.654296875,0.6507936716079712,,,,
52,52,1.5018208026885986,0.23678362369537354,0.6419271230697632,0.6431372761726379,,,,
53,53,1.5551530122756958,0.23007789254188538,0.6354166269302368,0.6352941393852234,,,,
54,54,1.5227512121200562,0.23600229620933533,0.64453125,0.6431372761726379,,,,
55,55,1.6678837537765503,0.24233916401863098,0.6349283456802368,0.629482090473175,,,,
56,56,1.5827234983444214,0.23684871196746826,0.634765625,0.6309524178504944,,,,
57,57,1.5779824256896973,0.2337237000465393,0.640625,0.636363685131073,,,,
58,58,1.5935732126235962,0.22799460589885712,0.62451171875,0.6220472455024719,,,,
59,59,1.5227322578430176,0.23033824563026428,0.6328125,0.626984179019928,,,,
60,60,1.4767799377441406,0.21695947647094727,0.603515625,0.6039215922355652,,,,
61,61,1.4951939582824707,0.2210284024477005,0.630859375,0.6284584999084473,,,,
62,62,1.4936416149139404,0.23183569312095642,0.638671875,0.6377952694892883,,,,
63,63,1.4620801210403442,0.2187497913837433,0.60546875,0.6023622155189514,,,,
64,64,1.5164490938186646,0.2226560413837433,0.634765625,0.6338582634925842,1.4099645614624023,0.19401025772094727,0.548828125,0.5400000214576721
65,65,1.527819037437439,0.2307940125465393,0.662109375,0.6614173054695129,,,,
66,66,1.5258214473724365,0.2311195731163025,0.62890625,0.626984179019928,,,,
67,67,1.5552284717559814,0.2296547293663025,0.630859375,0.6284584999084473,,,,
